Problem,Description,Solved,Mathematica,Python,Ruby
1,Multiples of 3 and 5,x,,,
2,Even Fibonacci numbers,x,,,
3,Largest prime factor,x,,,
4,Largest palindrome product,x,,,
5,Smallest Multiple,x,,,
6,Sum square difference,x,,,
7,10001st prime,x,,,
8,Largest product in a series,x,,,
9,Special Pythagorean triplet,x,,,
10,Summation of primes,x,,,
11,Largest product in a grid,x,,,
12,Highly divisible triangular number,x,,,
13,Large sum,x,,,
14,Longest Collatz sequence,x,,,
15,Lattice paths,x,,,
16,Power digit sum,x,,,
17,Number letter counts,x,,,
18,Maximum path sum I,x,,,
19,Counting Sundays,x,,,
20,Factorial digit sum,x,,,
21,Amicable numbers,x,,,
22,Names scores,x,,,
23,Non-abundant sums,x,,,
24,Lexicographic permutations,x,,,
25,1000-digit Fibonacci number,x,,,
26,Reciprocal cycles,x,,,
27,Quadratic primes,x,,,
28,Number spiral diagonals,x,,,
29,Distinct powers,x,,,
30,Digit fifth powers,x,,,
31,Coin sums,x,,,
32,Pandigital products,x,,,
33,Digit cancelling fractions,x,,,
34,Digit factorials,x,,,
35,Circular primes,x,,,
36,Double base palindromes,x,,,
37,Truncatable primes,x,,,
38,Pandigital multiples,x,,,
39,Integer right triangles,x,,,
40,Campernowne's constant,x,,,
41,Pandigital prime,x,,,
42,Coded triangle numbers,x,,,
44,Pentagon numbers,x,,,
45,"Triangular, pentagonal, and hexagonal",x,,,
46,Distinct primes factors,x,,,
48,Self powers,x,,,
49,Prime permutations,x,,,
52,Permuted multiples,x,,,
53,Combinatoric selections,x,,,
55,Lychrel numbers,x,,,
56,Powerful digit sum,x,,,
59,XOR decryption,x,,,
63,Powerful digit counts,x,,,
65,Convergents of e,x,,,
66,Diophantine equation,x,,,
67,Maximum path sum II,x,,,
69,Totient maximum,x,,,
70,Totient permutation,x,,,
79,Passcode derivation,x,,,
84,Monopoly odds,x,,,
97,Large non-Mersenne prime,x,,,
99,Largest exponential,x,,,
108,Diophantine reciprocals I,x,,,
205,Dice Game,x,,,
206,Concealed Square,x,,,
